節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,_round_no,_season,_merge_home_team,_merge_away_team,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,season,_merge_team_name,round_no,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,_merge_absence_future_away
第４節第１日,j2_2026_02281300_仙台_八戸,2026-02-28 13:00:00,ユアスタ,仙台,八戸,,,1.5,11.5,2026-02-28 13:00:00,ユアスタ,True,False,False,12.3,4.1,,False,12.3,4.7,18.9,2.3,372.3,73.2,11.3,58.8,10.7,62.5,12.7,13.3,46.0,48.5,13.0,18.7,38.3,3.0,9.0,3.0,0.7,22.0,16.7,72.0,24.0,1.7,2.1,0.7,2.1,1.0,0.0,14.0,2.0,3.6,0.5,334.0,65.7,8.0,43.8,8.5,52.9,15.5,16.5,42.9,40.0,8.5,16.5,36.5,2.4,6.5,2.0,0.5,14.5,21.5,60.5,30.0,2.5,1.3,0.6,1.3,1.0,0.0,,,,,,,,,1,9,0.0,0.0,0.0,3.0,3.0,3.3,2026,20260228,6,3,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,4,2026,仙台,八戸,,,,,,,,,,,,left_only
第４節第２日,j2_2026_03011400_今治_新潟,2026-03-01 14:00:00,アシさと,今治,新潟,,,1.5,11.5,2026-03-01 14:00:00,アシさと,False,False,True,11.7,16.3,,False,7.7,2.7,8.7,0.7,421.3,72.4,10.3,41.9,14.3,34.9,11.3,14.3,47.3,52.1,6.0,17.0,38.7,2.3,12.0,2.3,0.3,25.7,23.0,55.1,24.3,1.3,2.9,0.9,2.9,2.0,0.0,9.3,2.3,14.3,1.3,419.0,74.5,10.7,43.8,13.7,39.0,10.3,17.3,46.0,48.0,7.7,15.7,34.3,3.2,15.7,6.3,1.3,25.7,20.0,55.0,25.7,2.7,3.2,1.0,3.2,2.0,0.0,,,,,,,,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,4,6,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,4,2026,今治,新潟,0.053333,0.0,0.066667,1.0,,,,,,,,left_only
第５節第２日,j2_2026_03081300_八戸_横浜FC,2026-03-08 13:00:00,プラスタ,八戸,横浜FC,,,1.5,11.5,,,False,False,False,,,,True,14.0,2.0,3.6,0.5,334.0,65.7,8.0,43.8,8.5,52.9,15.5,16.5,42.9,40.0,8.5,16.5,36.5,2.4,6.5,2.0,0.5,14.5,21.5,60.5,30.0,2.5,1.3,0.6,1.3,1.0,0.0,15.0,5.3,13.3,2.0,450.3,76.7,13.3,57.5,9.3,35.7,16.3,12.3,48.1,57.8,13.0,19.0,30.3,4.4,12.0,4.7,1.3,14.3,16.0,70.8,16.0,1.3,2.9,0.9,2.9,0.0,0.0,,,,,,,,,6,3,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,5,3,0.0,0.0,0.0,3.0,3.0,3.3,2026,20260228,5,2026,八戸,横浜FC,,,,,,,,,,,,left_only
第６節第１日,j2_2026_03141400_湘南_山形,2026-03-14 14:00:00,レモンＳ,湘南,山形,,,1.5,11.5,,,False,False,False,,,,True,10.7,4.0,18.8,2.0,513.3,73.1,10.3,41.9,14.3,46.5,17.0,25.3,58.5,59.1,8.7,18.7,41.3,3.1,13.0,2.0,0.7,23.0,24.3,58.9,21.0,1.0,3.8,1.2,3.0,2.0,0.0,10.0,4.0,16.7,1.7,381.7,73.5,7.0,42.9,12.3,51.4,12.0,15.3,49.5,44.5,7.7,14.7,33.7,3.0,19.3,5.3,1.0,28.3,17.3,67.3,23.3,1.7,6.2,2.0,6.2,0.0,0.0,,,,,,,,,4,6,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,3,8,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,6,2026,湘南,山形,0.0,0.0,0.0,1.0,,,,,,,,left_only
第６節第１日,j2_2026_03141400_甲府_いわき,2026-03-14 14:00:00,ＪＩＴス,甲府,いわき,,,1.5,11.5,,,False,False,False,,,,True,12.7,4.3,18.4,2.3,396.0,68.2,13.0,35.9,15.0,57.8,14.7,22.3,52.3,48.6,13.7,22.0,40.7,3.5,9.0,2.7,0.7,21.3,27.0,64.2,20.3,2.7,2.5,0.8,1.7,1.0,0.0,19.0,4.3,7.0,1.3,382.3,70.9,11.0,51.5,15.0,53.3,18.7,19.0,57.0,48.3,14.7,21.3,41.3,5.2,7.0,1.0,0.3,22.7,21.7,72.3,18.7,1.3,1.8,0.6,1.8,2.0,0.0,,,,,,,,,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,4,7,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,6,2026,甲府,いわき,0.016667,0.0,0.020833,1.0,,,,,,,,left_only
第６節第１日,j2_2026_03141400_磐田_札幌,2026-03-14 14:00:00,ヤマハ,磐田,札幌,,,1.5,11.5,,,False,False,False,,,,True,11.0,3.0,6.1,0.7,570.0,77.3,8.3,40.0,10.3,48.4,16.7,23.7,56.8,58.7,8.7,13.3,34.3,2.6,8.0,4.7,1.3,16.0,17.0,58.8,18.7,0.3,2.3,0.7,2.3,1.0,0.0,11.7,3.0,8.6,1.0,565.7,78.0,10.7,40.6,12.0,47.2,17.0,16.0,54.5,55.0,13.0,18.3,39.0,5.0,16.3,3.7,1.7,23.7,20.0,70.0,27.0,1.7,4.8,1.6,4.8,0.0,0.0,,,,,,,,,8,2,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,7,2,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,6,2026,磐田,札幌,0.0,0.0,0.0,1.0,,,,,,,,left_only
第６節第１日,j2_2026_03141400_宮崎_大分,2026-03-14 14:00:00,いちご,宮崎,大分,,,1.5,11.5,,,False,False,False,,,,True,9.7,4.7,27.6,2.7,378.0,76.5,8.0,41.7,11.7,42.9,8.3,13.3,47.6,45.3,9.3,16.7,29.3,3.3,10.0,3.3,1.3,29.7,17.3,76.9,19.7,0.7,3.5,1.1,3.5,0.0,0.0,13.7,5.0,14.6,2.0,568.3,81.1,10.3,61.3,18.3,52.7,20.3,20.0,58.3,54.3,11.7,19.7,38.3,5.1,8.7,1.3,0.0,26.7,20.0,66.7,16.3,2.7,2.5,0.8,1.7,3.0,0.0,,,,,,,,,2,9,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,1,9,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,6,2026,宮崎,大分,,,,,,,,,,,,left_only
第７節第１日,j2_2026_03201400_新潟_富山,2026-03-20 14:00:00,デンカＳ,新潟,富山,,,1.5,11.5,,,False,False,False,,,,True,9.3,2.3,14.3,1.3,419.0,74.5,10.7,43.8,13.7,39.0,10.3,17.3,46.0,48.0,7.7,15.7,34.3,3.2,15.7,6.3,1.3,25.7,20.0,55.0,25.7,2.7,3.2,1.0,3.2,2.0,0.0,13.3,6.3,22.5,3.0,549.3,80.0,11.3,47.1,13.7,41.5,14.7,12.7,51.4,55.6,11.0,18.0,37.3,4.6,12.3,5.0,1.7,18.3,19.0,66.7,23.3,0.7,3.9,1.3,3.9,0.0,0.0,,,,,,,,,4,6,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,3,6,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,7,2026,新潟,富山,,,,,,,,,,,,left_only
第７節第２日,j2_2026_03211400_秋田_八戸,2026-03-21 14:00:00,ソユスタ,秋田,八戸,,,1.5,11.5,,,False,False,False,,,,True,12.7,2.0,13.2,1.7,273.7,53.2,9.3,35.7,6.7,50.0,13.3,30.7,52.6,42.9,7.3,15.0,37.3,4.5,8.3,3.0,0.7,26.7,21.3,54.7,23.0,1.3,2.0,0.6,2.0,1.0,0.0,14.0,2.0,3.6,0.5,334.0,65.7,8.0,43.8,8.5,52.9,15.5,16.5,42.9,40.0,8.5,16.5,36.5,2.4,6.5,2.0,0.5,14.5,21.5,60.5,30.0,2.5,1.3,0.6,1.3,1.0,0.0,,,,,,,,,2,9,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,6,3,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,7,2026,秋田,八戸,0.0,0.0,0.0,1.0,,,,,,,,left_only
第７節第３日,j2_2026_03221400_山形_仙台,2026-03-22 14:00:00,ＮＤスタ,山形,仙台,,,1.5,11.5,,,False,False,False,,,,True,10.0,4.0,16.7,1.7,381.7,73.5,7.0,42.9,12.3,51.4,12.0,15.3,49.5,44.5,7.7,14.7,33.7,3.0,19.3,5.3,1.0,28.3,17.3,67.3,23.3,1.7,6.2,2.0,6.2,0.0,0.0,12.3,4.7,18.9,2.3,372.3,73.2,11.3,58.8,10.7,62.5,12.7,13.3,46.0,48.5,13.0,18.7,38.3,3.0,9.0,3.0,0.7,22.0,16.7,72.0,24.0,1.7,2.1,0.7,2.1,1.0,0.0,,,,,,,,,3,8,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,1,9,0.0,0.0,0.0,3.0,3.0,3.3,2026,20260228,7,2026,山形,仙台,,,,,,,,,,,,left_only
