節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,absence_missing_home,absence_missing_away,absence_effective_total_home,absence_effective_attack_home,absence_effective_defense_home,absence_effective_total_away,absence_effective_attack_away,absence_effective_defense_away,absence_cap_applied_home,absence_cap_applied_away,stats_asof,stats_source_csv,home_elo,away_elo,home_advantage_diff,home_advantage_profile_diff,hfa_applied_elo,elo_diff_for_prob,expected_home_two_way,is_home_advantage_positive,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,prob_home_win,prob_draw,prob_away_win,predicted_result,predicted_highest_prob_result,stats_home_missing,stats_away_missing,management_missing,data_quality_warn
第３節第１日,j2_2026_02211403_藤枝_甲府,2026-02-21 14:03:00,藤枝サ,藤枝,甲府,,,1.5,11.5,,,False,False,False,,,,True,12.3,4.0,8.1,1.0,460.3,73.1,16.3,49.0,12.3,43.2,15.3,20.0,51.3,57.8,10.3,22.7,29.3,3.9,9.7,3.0,1.0,19.0,23.3,62.9,20.0,1.0,3.5,1.1,2.7,1.0,0.0,12.7,4.3,18.4,2.3,396.0,68.2,13.0,35.9,15.0,57.8,14.7,22.3,52.3,48.6,13.7,22.0,40.7,3.5,9.0,2.7,0.7,21.3,27.0,64.2,20.3,2.7,2.5,0.8,1.7,1.0,0.0,,,,,,,,,5,4,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,0.0,0.0,0.0,0.0,0.016667,0.0,0.020833,1.0,True,False,0.05,0.03,0.02,0.016667,0.0,0.020833,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1444,1456,0.0,0.0,10.5,-2.0787,0.497,False,0.41818753979708534,0.23264876417424518,0.3491636960286695,0.41818753979708534,0.23264876417424518,0.3491636960286695,H,H,False,False,True,True
第４節第１日,j2_2026_02281300_仙台_八戸,2026-02-28 13:00:00,ユアスタ,仙台,八戸,,,1.5,11.5,2026-02-28 13:00:00,ユアスタ,True,False,False,12.3,4.1,,False,12.3,4.7,18.9,2.3,372.3,73.2,11.3,58.8,10.7,62.5,12.7,13.3,46.0,48.5,13.0,18.7,38.3,3.0,9.0,3.0,0.7,22.0,16.7,72.0,24.0,1.7,2.1,0.7,2.1,1.0,0.0,14.0,2.0,3.6,0.5,334.0,65.7,8.0,43.8,8.5,52.9,15.5,16.5,42.9,40.0,8.5,16.5,36.5,2.4,6.5,2.0,0.5,14.5,21.5,60.5,30.0,2.5,1.3,0.6,1.3,1.0,0.0,,,,,,,,,1,9,0.0,0.0,0.0,3.0,3.0,3.3,2026,20260228,6,3,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1540,1500,1.5789,1.5789,18.0,57.7124,0.5823,True,0.5673252331229011,0.2134082943399399,0.219266472537159,0.5673252331229011,0.2134082943399399,0.219266472537159,H,H,False,False,True,True
第４節第１日,j2_2026_02281400_栃木Ｃ_湘南,2026-02-28 14:00:00,ＣＦＳ,栃木Ｃ,湘南,,,1.5,11.5,2026-02-28 14:00:00,ＣＦＳ,True,False,False,14.3,0.8,,False,10.9,3.6,7.55,0.85,390.65,71.25,12.65,55.05,9.65,42.05,9.6,17.85,48.25,48.95,9.1,14.5,34.75,2.05,12.6,4.25,2.65,21.35,12.75,59.650000000000006,19.75,0.65,3.05,1.15,3.05,0.0,0.0,10.7,4.0,18.8,2.0,513.3,73.1,10.3,41.9,14.3,46.5,17.0,25.3,58.5,59.1,8.7,18.7,41.3,3.1,13.0,2.0,0.7,23.0,24.3,58.9,21.0,1.0,3.8,1.2,3.0,2.0,0.0,,,,,,,,,10,0,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,4,6,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1500,1500,0.0,0.0,10.5,10.5,0.5151,False,0.35517692005001644,0.24685578214763904,0.3979672978023446,0.35517692005001644,0.24685578214763904,0.3979672978023446,D,A,False,False,True,True
第４節第２日,j2_2026_03011400_いわき_藤枝,2026-03-01 14:00:00,ハワスタ,いわき,藤枝,,,1.5,11.5,2026-03-01 14:00:00,ハワスタ,False,False,True,16.4,23.1,,False,19.0,4.3,7.0,1.3,382.3,70.9,11.0,51.5,15.0,53.3,18.7,19.0,57.0,48.3,14.7,21.3,41.3,5.2,7.0,1.0,0.3,22.7,21.7,72.3,18.7,1.3,1.8,0.6,1.8,2.0,0.0,12.3,4.0,8.1,1.0,460.3,73.1,16.3,49.0,12.3,43.2,15.3,20.0,51.3,57.8,10.3,22.7,29.3,3.9,9.7,3.0,1.0,19.0,23.3,62.9,20.0,1.0,3.5,1.1,2.7,1.0,0.0,,,,,,,,,4,7,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,5,4,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,0.0,0.0,0.0,0.0,0.017021,0.0,0.021277,1.0,True,False,0.05,0.03,0.02,0.017021,0.0,0.021277,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1539,1444,0.6842,0.6842,18.0,112.6827,0.6567,True,0.6964098402221668,0.15828979170693402,0.14530036807089922,0.6964098402221668,0.15828979170693402,0.14530036807089922,H,H,False,False,True,True
第４節第２日,j2_2026_03011400_今治_新潟,2026-03-01 14:00:00,アシさと,今治,新潟,,,1.5,11.5,2026-03-01 14:00:00,アシさと,False,False,True,11.7,16.3,,False,7.7,2.7,8.7,0.7,421.3,72.4,10.3,41.9,14.3,34.9,11.3,14.3,47.3,52.1,6.0,17.0,38.7,2.3,12.0,2.3,0.3,25.7,23.0,55.1,24.3,1.3,2.9,0.9,2.9,2.0,0.0,9.3,2.3,14.3,1.3,419.0,74.5,10.7,43.8,13.7,39.0,10.3,17.3,46.0,48.0,7.7,15.7,34.3,3.2,15.7,6.3,1.3,25.7,20.0,55.0,25.7,2.7,3.2,1.0,3.2,2.0,0.0,,,,,,,,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,4,6,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,0.053333,0.0,0.066667,1.0,0.0,0.0,0.0,0.0,False,True,0.053333,0.0,0.066667,0.05,0.03,0.02,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1507,1500,1.1053,1.1053,18.0,24.8767,0.5357,True,0.39698562564750517,0.24156215717734927,0.36145221717514553,0.39698562564750517,0.24156215717734927,0.36145221717514553,H,H,False,False,True,True
第５節第１日,j2_2026_03071400_仙台_湘南,2026-03-07 14:00:00,ユアスタ,仙台,湘南,,,1.5,11.5,,,False,False,False,,,,True,12.3,4.7,18.9,2.3,372.3,73.2,11.3,58.8,10.7,62.5,12.7,13.3,46.0,48.5,13.0,18.7,38.3,3.0,9.0,3.0,0.7,22.0,16.7,72.0,24.0,1.7,2.1,0.7,2.1,1.0,0.0,10.7,4.0,18.8,2.0,513.3,73.1,10.3,41.9,14.3,46.5,17.0,25.3,58.5,59.1,8.7,18.7,41.3,3.1,13.0,2.0,0.7,23.0,24.3,58.9,21.0,1.0,3.8,1.2,3.0,2.0,0.0,,,,,,,,,1,9,0.0,0.0,0.0,3.0,3.0,3.3,2026,20260228,4,6,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,0.05,0.03,0.02,0.0,0.0,0.0,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1540,1500,1.5789,1.5789,18.0,57.7124,0.5823,True,0.5199086532250812,0.2128834177771074,0.2672079289978115,0.5199086532250812,0.2128834177771074,0.2672079289978115,D,H,False,False,True,True
第５節第１日,j2_2026_03071400_いわき_大宮,2026-03-07 14:00:00,ハワスタ,いわき,大宮,,,1.5,11.5,,,False,False,False,,,,True,19.0,4.3,7.0,1.3,382.3,70.9,11.0,51.5,15.0,53.3,18.7,19.0,57.0,48.3,14.7,21.3,41.3,5.2,7.0,1.0,0.3,22.7,21.7,72.3,18.7,1.3,1.8,0.6,1.8,2.0,0.0,16.7,7.3,22.0,3.7,594.7,78.6,15.7,55.3,16.3,38.8,22.7,15.3,44.7,59.9,16.7,23.7,42.7,6.3,12.0,3.7,1.0,17.3,24.7,60.8,19.0,1.3,3.5,1.1,3.5,1.0,0.0,,,,,,,,,4,7,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,1,9,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,False,0.05,0.03,0.02,0.0,0.0,0.0,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1539,1535,-0.1579,-0.1579,7.6579,11.1508,0.516,False,0.3749976052136013,0.20926319466894133,0.4157392001174573,0.3749976052136013,0.20926319466894133,0.4157392001174573,A,A,False,False,True,True
第５節第１日,j2_2026_03071400_藤枝_磐田,2026-03-07 14:00:00,藤枝サ,藤枝,磐田,,,1.5,11.5,,,False,False,False,,,,True,12.3,4.0,8.1,1.0,460.3,73.1,16.3,49.0,12.3,43.2,15.3,20.0,51.3,57.8,10.3,22.7,29.3,3.9,9.7,3.0,1.0,19.0,23.3,62.9,20.0,1.0,3.5,1.1,2.7,1.0,0.0,11.0,3.0,6.1,0.7,570.0,77.3,8.3,40.0,10.3,48.4,16.7,23.7,56.8,58.7,8.7,13.3,34.3,2.6,8.0,4.7,1.3,16.0,17.0,58.8,18.7,0.3,2.3,0.7,2.3,1.0,0.0,,,,,,,,,5,4,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,8,2,0.0,0.0,0.0,0.0,0.0,0.0,2026,20260228,0.017021,0.0,0.021277,1.0,0.0,0.0,0.0,1.0,False,False,0.017021,0.0,0.021277,0.0,0.0,0.0,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1444,1549,-0.2632,-0.2632,5.7632,-99.7707,0.3602,False,0.29305235726956286,0.20197258848972044,0.5049750542407168,0.29305235726956286,0.20197258848972044,0.5049750542407168,A,A,False,False,True,True
第５節第２日,j2_2026_03081300_八戸_横浜FC,2026-03-08 13:00:00,プラスタ,八戸,横浜FC,,,1.5,11.5,,,False,False,False,,,,True,14.0,2.0,3.6,0.5,334.0,65.7,8.0,43.8,8.5,52.9,15.5,16.5,42.9,40.0,8.5,16.5,36.5,2.4,6.5,2.0,0.5,14.5,21.5,60.5,30.0,2.5,1.3,0.6,1.3,1.0,0.0,15.0,5.3,13.3,2.0,450.3,76.7,13.3,57.5,9.3,35.7,16.3,12.3,48.1,57.8,13.0,19.0,30.3,4.4,12.0,4.7,1.3,14.3,16.0,70.8,16.0,1.3,2.9,0.9,2.9,0.0,0.0,,,,,,,,,6,3,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,5,3,0.0,0.0,0.0,3.0,3.0,3.3,2026,20260228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1500,1500,0.0,0.0,10.5,10.5,0.5151,False,0.3119766210482804,0.23069251350548114,0.45733086544623847,0.3119766210482804,0.23069251350548114,0.45733086544623847,D,A,False,False,True,True
第５節第２日,j2_2026_03081400_山形_秋田,2026-03-08 14:00:00,ＮＤスタ,山形,秋田,,,1.5,11.5,,,False,False,False,,,,True,10.0,4.0,16.7,1.7,381.7,73.5,7.0,42.9,12.3,51.4,12.0,15.3,49.5,44.5,7.7,14.7,33.7,3.0,19.3,5.3,1.0,28.3,17.3,67.3,23.3,1.7,6.2,2.0,6.2,0.0,0.0,12.7,2.0,13.2,1.7,273.7,53.2,9.3,35.7,6.7,50.0,13.3,30.7,52.6,42.9,7.3,15.0,37.3,4.5,8.3,3.0,0.7,26.7,21.3,54.7,23.0,1.3,2.0,0.6,2.0,1.0,0.0,,,,,,,,,3,8,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,2,9,0.0,0.0,0.0,-1.0,0.0,-1.0,2026,20260228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,0.05,0.03,0.02,0.0,0.0,0.0,False,False,2026-02-28,team_master_stats_j2_2026_asof_20260228.csv,1519,1469,0.3158,0.3158,16.1842,65.8495,0.5936,True,0.45571000463192823,0.2076549264204356,0.33663506894763623,0.45571000463192823,0.2076549264204356,0.33663506894763623,H,H,False,False,True,True
